ChargerId,OperatorAbb,OperatorName,City,Lat,Lon
AGH-00011,EDP,EDP Comercial,Angra do Heroísmo,38.660755,-27.233997
AMD-00048,MOO,Siva - Sociedade de Importação de Veículos Automóveis,Amadora,38.71938,-9.234855
BRG-00047,EVC,"EVCE POWER, LDA. / MOBISMART",Braga,41.534706,-8.43977
CBR-00054,MOO,Siva - Sociedade de Importação de Veículos Automóveis,Coimbra,40.25207,-8.436791
CTB-90007,GLP,Galp Power OPC,Castelo Branco,39.915154,-7.4587793
EVR-90009,EDP,EDP Comercial,Évora,38.5725,-7.90972
LRA-00059,MOO,Siva - Sociedade de Importação de Veículos Automóveis,Leiria,39.762505,-8.786816
LRA-00129,EDP,EDP Comercial,Leiria,39.720703,-8.830654
LRS-90022,EDP,EDP Comercial,Loures,38.790783,-9.10635
LSB-00098,EML,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.",Lisboa,38.74908,-9.149451
LSB-00331,MLT,Mobiletric,Lisboa,38.75971,-9.153599
LSB-80027,ATL,"Atlante Infra Portugal, S.A",Lisboa,38.744457,-9.183136
LSB-90096,GLP,Galp Power OPC,Lisboa,38.706722,-9.150906
MAI-00055,PFU,Plug Four the WorldLda,Maia,41.274002,-8.600193
MMV-00002,EVP,"EVpower, Charging Solutions Lda",Montemor-o-Velho,40.173706,-8.681725
MTA-00002,PLG,"e-Plug, Lda",Moita,38.65571,-9.034822
OER-00101,GRN,"GREEN CHARGE - MOBILIDADE ELÉTRICA, LDA",Oeiras,38.744095,-9.267159
ORM-00009,KLS,"Kilometer Low Cost II Serviços, SA",Ourém,39.631897,-8.680918
PTM-00025,MOO,Siva - Sociedade de Importação de Veículos Automóveis,Portimão,37.137596,-8.5547695
SBR-90001,HRZ,"Powerdot, S.A",Sabrosa,41.267113,-7.574972
STB-80009,GLP,Galp Power OPC,Setúbal,38.530987,-8.886267
STS-00002,MLT,Mobiletric,Santo Tirso,41.343307,-8.478301
VCT-00025,CGG,Cargga Inteligente,Viana do Castelo,41.69754,-8.836002
VCT-00026,CGG,Cargga Inteligente,Viana do Castelo,41.702656,-8.821213
VFX-00025,GLG,Galpgeste,Vila Franca de Xira,38.89226,-9.04458
VLC-00013,KLS,"Kilometer Low Cost II Serviços, SA",Vale de Cambra,40.846146,-8.395111
VNG-90005,GLP,Galp Power OPC,Vila Nova de Gaia,41.12911,-8.620756
VRL-00012,REP,REPSOL PORTUGUESA LDA,Vila Real,41.302586,-7.741088
