OperatorAbb,OperatorName,Total Power (kW)
EDP,EDP Comercial,217199
GLP,Galp Power OPC,166165
HRZ,"Powerdot, S.A",134524
FCT,"CHARGING TOGETHER, UNIPESSOAL LDA",99028
ATL,"Atlante Infra Portugal, S.A",60104
TRK,WOWPLUG,28865
IOY,IONITY GmbH,28100
REP,REPSOL PORTUGUESA LDA,22339
GLG,Galpgeste,22253
PRI,"Prio.E Mobility Solutions, Lda",22132
HLX,"Helexia II Energy Services, Lda.",21546
MOT,Mota-Engil Renewing,13992
CPS,Cepsa Portuguesa Petroleos,13550
MLT,Mobiletric,10605
MAK,Maksu,10240
ENB,"Enable Mobility Solutions, S.A.",8450
IBD,"Iberdrola Clientes Portugal, Unipessoal, Lda",8266
DTE,"DTE, Instalacoes Especiais",7524
VIA,"Via Verde Transição Energética, S.A.",7457
REM,MOTA-ENGIL REMO CHARGING S.A,4500
ITV,Instavolt Portugal Lda.,4422
EML,"EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.",4103
ECI,ECOINSIDE,3632
MOO,Siva - Sociedade de Importação de Veículos Automóveis,3077
SEG,SEGMA - Serviços de Engenharia Gestão e Manutenção Lda,2677
EVI,EVIO - Electrical Mobility,2110
EVP,"EVpower, Charging Solutions Lda",1949
FAC,FactorENERGIA,1936
EVC,"EVCE POWER, LDA. / MOBISMART",1856
NRG,"NRG - Sistemas de Energia Renováveis, Lda.",1818
LCG,"Loulé Concelho Global, EM",1791
KLS,"Kilometer Low Cost II Serviços, SA",1630
LOG,uCharge,1453
EMA,"EMACOM - Telecomunicações da Madeira, Unipessoal, Lda",1422
ACC,"ACCIONA RECARGA PORTUGAL,UNIPESSOAL LDA",1388
CAP,"Capwatt Services, S.A.",1364
VEI,Veimonte Lda,1122
PLG,"e-Plug, Lda",1110
HEX,"HEXAGONAL OCEAN, LDA",1091
CAB,Cable Exanergia Portugal,1016
CIR,"Circuitos Energy Solutions, Lda.",604
ALF,Alfa Energia,586
GEN,Generation Journey Lda,572
HGP,"High Green Power, Unipessoal Lda.",555
BEL,Bel Mobility,542
IHM,iHome Lda,504
VIS,VISACASA - SERVIÇOS DE ASSISTÊNCIA E MANUTENÇÃO GLOBAL S.A.,460
CEV,CEVE - Cooperativa Eléctrica do Vale D’Este C.R.L.,428
LUZ,"LUSIADAENERGIA, S.A.",401
SGM,"Superguimarães - Supermercados,lda",384
GRN,"GREEN CHARGE - MOBILIDADE ELÉTRICA, LDA",374
CSC,Cascais Próxima,352
EVA,"EVAZ Energy, LDA",350
CME,CME,332
SFF,"Superfafe- supermercados,lda",324
PRP,"PROPEL - PRODUTOS DE PETRÓLEO, LDA",286
SDB,SodiBraga - Supermercados Lda,284
GRC,"Grcapp, Unipessoal Lda",276
PTE,"PETROTERMICA ENERGIA, S.A.",240
GLD,Gold Energy,225
BLU,"Bluecharge, Lda",220
EGR,"Green Evolut, LDA",220
MOA,"MOBI A - Mobilidade e Ambiente, Lda",220
GSF,"GASFOMENTO - Sistemas e Instalações de Gás, S.A.",219
MOB,MOBIE,216
FRR,"FRONTROW, LDA",216
IMG,"Image4all - Eficiência Energética, Comunicação e Imagem",187
CGG,Cargga Inteligente,176
NEU,"Neureifen - Electric Mobility, Lda",176
PFU,Plug Four the WorldLda,176
EZC,"EZ - CHARG3, Lda",165
BRI,Brightcity S.A.,164
EZU,Ezu Energia,154
IVP,Intervilapraia,142
SAR,"Superareosa Supermercados, Lda",142
KPM,"KPM Serviços de Engenheria, Unip Lda",122
EPO,EPOCH,110
SLX,SOLX,102
CON,"ConectaMais, Lda",88
EMT,"Emobtec - Tec. Mobilidade Elétrica, unipessoal Lda",88
SLV,Silver Ridge - Asset Management,84
AUC,Auchan Retail Portugal S.A,66
SCR,Município de Santa Cruz,66
PAR,Parinox Energia,52
ZND,"Grupo Easycharger, SL",46
FRI,"Distrifrio Supermercados, Lda",44
INT,"Bluint - Engenharia e Tecnologias Integradas, Unipessoal, Lda",44
MEO,"MEO Energia - Comercialização de Energia, SA",44
WEN,WENEA SERVICES SPAIN S.L.,29
JHO,JH Ornelas,14
PAC,"PACORP, LDA",7
ENE,"Enercom, Vasconcelos e Almeida engenharia, lda",7
